loss,mape,val_loss,val_mape
0.0357971265912056,262948.375,0.00903248693794012,412416.03125
0.00710522523149848,94594.3828125,0.006605392787605524,250397.53125
0.006605197209864855,64675.74609375,0.006738750264048576,238439.34375
0.006140524055808783,75016.09375,0.006467385217547417,247311.46875
0.00586519343778491,67892.828125,0.005884269718080759,237489.21875
0.005594662856310606,65694.4453125,0.005836096592247486,233657.03125
0.00542915053665638,64104.61328125,0.005552608519792557,220764.8125
0.005250102840363979,66759.921875,0.005873519461601973,214811.328125
0.005010003689676523,61737.859375,0.005277471151202917,231201.15625
0.004860388580709696,56435.16796875,0.005262227263301611,222594.359375
0.004727310035377741,58268.83984375,0.005222235806286335,212295.984375
0.004607692360877991,66447.109375,0.005102996248751879,231389.609375
0.004563464783132076,67096.8046875,0.005073332693427801,233103.296875
0.0044181374832987785,55388.2421875,0.005040756892412901,226075.0
0.004372858442366123,63938.15234375,0.004950104746967554,229312.3125
0.004337651189416647,56446.98828125,0.005101469345390797,221868.296875
0.00431276997551322,66588.03125,0.0051174405962228775,203135.734375
0.004235522355884314,68547.609375,0.004859437234699726,226611.0625
0.004160171374678612,62604.54296875,0.004902961663901806,228174.546875
0.004279437009245157,52605.3203125,0.004870682954788208,228815.9375
0.004103218670934439,62261.62890625,0.004821855574846268,221441.109375
0.004182977136224508,55441.73046875,0.005164560861885548,228525.859375
0.004076920449733734,55706.046875,0.005093642510473728,207839.46875
0.004062219522893429,58465.09375,0.004933535121381283,209393.296875
0.0040579913184046745,52076.02734375,0.004889488220214844,224941.9375
0.0039885262958705425,54971.51171875,0.004791353363543749,219205.015625
0.004016850143671036,57331.7578125,0.004956623073667288,205979.71875
0.003977609798312187,57655.76171875,0.004762422293424606,218277.921875
0.0039262548089027405,61455.29296875,0.005158849526196718,231224.765625
0.0039114030078053474,58798.0546875,0.004796512890607119,205164.765625
0.003883478231728077,59567.19140625,0.004761610645800829,219581.796875
0.0038772611878812313,56071.0859375,0.004738332238048315,205847.59375
0.0038298512808978558,52389.3359375,0.004626804497092962,207084.59375
0.0038009341806173325,52966.80078125,0.004774809814989567,192572.546875
0.0038055081386119127,56730.44140625,0.0046203178353607655,213990.109375
0.003734392346814275,54923.44921875,0.004565151408314705,209920.671875
0.003732898738235235,54817.65625,0.004483891651034355,203599.28125
0.0037202558014541864,68361.484375,0.004603654146194458,189411.6875
0.003633853979408741,51325.1328125,0.004412997048348188,201504.828125
0.003567188512533903,46165.375,0.004620288033038378,203376.515625
0.0035545171704143286,49736.0546875,0.004538815002888441,205222.421875
0.003558393334969878,47507.9609375,0.004296779166907072,183989.671875
0.0034903346095234156,50962.54296875,0.00440683588385582,202910.59375
0.003477449994534254,50534.3203125,0.004219417460262775,176617.953125
0.0034231743775308132,51082.90234375,0.004145586397498846,181826.46875
0.003404139308258891,45507.80859375,0.004139801487326622,171431.84375
0.003356776898726821,42976.1953125,0.00403929315507412,166530.390625
0.003308346262201667,53100.546875,0.004085000138729811,154165.21875
0.0033242395147681236,53714.62109375,0.004219882655888796,168902.9375
0.0032530385069549084,38524.4765625,0.003949012141674757,148565.046875
0.0032481756061315536,43091.01953125,0.004184767138212919,171685.875
0.003225049702450633,41391.19140625,0.0044274781830608845,136957.375
0.0031920201145112514,41707.29296875,0.003854163223877549,157649.28125
0.0032313119154423475,46134.640625,0.0037797060795128345,148618.828125
0.003208145033568144,43600.97265625,0.0038132674526423216,146569.234375
0.0031886452343314886,43364.66015625,0.003912562038749456,131456.171875
0.0031735007651150227,35864.52734375,0.003822381841018796,151387.8125
0.0031480849720537663,39467.1796875,0.003718405030667782,142519.375
0.003178500570356846,36014.5,0.003712452482432127,142784.34375
0.0031619775108993053,44805.7890625,0.0037960156332701445,140178.515625
0.0031640827655792236,35914.3515625,0.0036839779932051897,140803.359375
0.0031307456083595753,33049.94140625,0.003827036125585437,128446.3046875
0.0031070103868842125,41033.69140625,0.003704666392877698,131337.859375
0.003171441378071904,41151.45703125,0.0036879447288811207,132274.125
0.003148786723613739,36637.33203125,0.0037209573201835155,128340.8203125
0.003113960847258568,38231.6015625,0.0036654036957770586,136246.765625
0.0031483671627938747,33543.82421875,0.003639001166447997,140234.171875
0.0031105082016438246,46262.65234375,0.0036693590227514505,135094.375
0.0031099729239940643,37083.26171875,0.003681567730382085,131834.890625
0.0031144360546022654,34926.37890625,0.0037811966612935066,134118.25
0.0031035197898745537,38956.34375,0.0036705457605421543,128448.8046875
0.003081816015765071,34525.5078125,0.003639186266809702,127978.1015625
0.0030776604544371367,33649.19140625,0.0037338766269385815,132061.515625
0.0030883094295859337,32306.103515625,0.0036627664230763912,138267.53125
0.0030844910070300102,34940.96875,0.0037227848079055548,123295.03125
0.0030803419649600983,40323.515625,0.0036239970941096544,125402.7109375
0.003078027395531535,36774.33984375,0.003622794756665826,122525.9765625
0.0031074259895831347,38101.390625,0.003695399034768343,125688.84375
0.0030520991422235966,33962.7734375,0.003705276409164071,115094.375
0.0030744632240384817,40178.3046875,0.003605565056204796,127254.0859375
0.003065706929191947,38130.16796875,0.003790508722886443,131956.796875
0.00307497289031744,32850.46484375,0.0036341052036732435,122582.21875
0.0030484588351100683,31825.69921875,0.003607888240367174,118409.921875
0.0030616740696132183,41044.015625,0.003609501523897052,117623.9140625
0.0030516497790813446,39126.14453125,0.0036109271459281445,125672.703125
0.003056954126805067,35725.125,0.003569756867364049,128603.4765625
0.0030735761392861605,36198.55859375,0.0036157756112515926,125334.3671875
0.003069874132052064,38138.5703125,0.003608258906751871,124341.9296875
0.003040738170966506,34047.7421875,0.0036024709697812796,121500.421875
0.0030368242878466845,36873.61328125,0.003600925672799349,114919.703125
0.0030489088967442513,32234.5,0.003593755653128028,132985.109375
0.0030204227659851313,35641.07421875,0.0038382066413760185,110229.421875
0.003088910598307848,30015.173828125,0.003590894630178809,125261.3359375
0.003042663214728236,33879.390625,0.0035919530782848597,122333.9609375
0.0030467533506453037,34227.078125,0.003545484272763133,125388.578125
0.003045473713427782,36623.4296875,0.0035344914067536592,122348.96875
0.0030210507102310658,31339.576171875,0.0038956364151090384,129757.8984375
0.0030592186376452446,33286.3671875,0.0035550068132579327,115098.796875
0.0030592631082981825,36559.80078125,0.003636373672634363,113592.0390625
0.003018013434484601,32273.19921875,0.003554614493623376,123473.2421875
0.0030400920659303665,34246.90625,0.0035468549467623234,116351.078125
0.003014058107510209,34216.00390625,0.0038012713193893433,118044.15625
0.0030581997707486153,34083.4453125,0.0035424060188233852,114618.1015625
0.003006597049534321,32819.66796875,0.0038070788141340017,128849.1796875
0.0030403558630496264,32334.958984375,0.003544013714417815,113767.2734375
0.003034190507605672,27182.962890625,0.003519022138789296,120825.5625
0.0029980153776705265,32079.537109375,0.003604741534218192,113052.7890625
0.0030436753295361996,29044.3984375,0.003524133935570717,116896.7265625
0.002990325912833214,32808.8125,0.003563652979210019,108353.265625
0.0029920272063463926,28622.31640625,0.0036011363845318556,113364.0234375
0.002999801654368639,30755.404296875,0.003550722962245345,115444.7578125
0.0030003665015101433,32206.48828125,0.0034999798517674208,124953.6875
0.0030308538116514683,34323.92578125,0.003538488643243909,122209.828125
0.00296964799053967,35030.6328125,0.0035202600993216038,112660.546875
0.0030229126568883657,33024.3828125,0.003562232246622443,113581.4296875
0.0030141137540340424,30141.568359375,0.0035347137600183487,110807.046875
0.003022491931915283,33140.10546875,0.003560960991308093,106413.3046875
0.0030124441254884005,34398.125,0.0035331000108271837,114851.9921875
0.0029959690291434526,26171.265625,0.0035107762087136507,112130.6640625
0.0030109891667962074,28899.69921875,0.003575789276510477,117561.015625
0.0029952428303658962,33424.28125,0.0035086956340819597,112433.234375
0.0029986887238919735,33550.046875,0.0035424919333308935,113934.6328125
0.002982195233926177,33382.71484375,0.0035199227277189493,117624.2578125
0.002983508165925741,31766.57421875,0.003507940797135234,110341.453125
0.0029760475736111403,32717.662109375,0.003564972896128893,110646.4375
0.0030101793818175793,29635.904296875,0.003542350372299552,111546.4609375
0.0029674519319087267,33128.8671875,0.0035136097576469183,112156.28125
0.003009878797456622,29205.958984375,0.003570348024368286,108553.5859375
0.0029990847688168287,28614.796875,0.0035353791899979115,107200.7265625
0.0029661799781024456,35408.68359375,0.003567799925804138,98001.1640625
0.0029572583734989166,29868.77734375,0.0035589137114584446,109809.265625
0.0029767740052193403,31304.267578125,0.003667200217023492,117640.8046875
0.002995081478729844,27485.15625,0.003550979308784008,106541.46875
0.002987224142998457,32307.46484375,0.003521869657561183,106870.171875
0.002989557571709156,30128.28515625,0.0035263309255242348,113259.0234375
0.0029719052836298943,35149.62109375,0.003490390721708536,110448.4296875
0.0029815146699547768,31078.505859375,0.0035475618205964565,106857.2890625
0.0029965920839458704,31794.0,0.0034749838523566723,112511.3203125
0.0030139449518173933,30417.375,0.003491924377158284,108415.421875
0.002981990808621049,35964.48046875,0.00346867716871202,111672.7421875
0.002969583263620734,31804.361328125,0.0034886954817920923,107005.9140625
0.0029757015872746706,31643.666015625,0.0035057428758591413,105970.7734375
0.0029671029187738895,33882.3984375,0.0035593637730926275,104944.7578125
0.0029891454614698887,26396.775390625,0.003476304467767477,108460.8203125
0.0029662770684808493,33473.703125,0.0034773575607687235,107637.1328125
0.002949940972030163,25990.2109375,0.003635520115494728,107240.640625
0.0029929608572274446,28249.078125,0.0034809026401489973,118370.7734375
0.0029750370886176825,28302.75,0.003467975649982691,113761.390625
