cluster_id,MAE,MSE,RMSE,MAPE,R2,EVS,n_sites,scats_sites
0,11.987018819271892,300.05704887450815,17.322154856556043,1.2829858249053574e+17,0.9519092942397442,0.9520872426697569,12,"[2820, 3001, 3002, 3662, 4262, 4263, 4264, 4270, 4324, 4335, 4812, 4821]"
1,20.12693588504161,989.9754362280886,31.46387509872375,2.2526893218791708e+16,0.9510889566315016,0.954916929662937,4,"[970, 2000, 3682, 3685]"
2,9.566661455727548,190.4441227681287,13.8001493748484,2.512476340491737e+16,0.9316584551636424,0.9316962768859399,8,"[2825, 2827, 3180, 4030, 4032, 4034, 4051, 4321]"
3,12.913997278551914,341.29802813977244,18.474253114531383,1.996610070837985e+16,0.9440407458569499,0.9440613761533798,11,"[2846, 3120, 3122, 3804, 3812, 4035, 4040, 4043, 4266, 4272, 4273]"
4,11.390068144682134,252.4318821815611,15.888105053201313,1.8518324817155564e+16,0.9291724554563621,0.9291774767497599,5,"[2200, 3126, 3127, 4057, 4063]"
