loss,mae,val_loss,val_mae
0.007695418316870928,0.05855308473110199,0.0023723652120679617,0.03852638229727745
0.0020717710722237825,0.03430875763297081,0.0013524958631023765,0.027348805218935013
0.0017755930311977863,0.031733397394418716,0.0011688116937875748,0.024931924417614937
0.0016629195306450129,0.0303170308470726,0.0011144974268972874,0.023759206756949425
0.0016218102537095547,0.029551200568675995,0.0010637559462338686,0.022819628939032555
0.0016073868609964848,0.02914515696465969,0.001058122143149376,0.023519771173596382
0.0015583308413624763,0.028531966730952263,0.0010303794406354427,0.022554267197847366
0.001527760992757976,0.02811703272163868,0.0009358491515740752,0.02126205340027809
0.0015080743469297886,0.027790438383817673,0.0009963266784325242,0.021628664806485176
0.0014952141791582108,0.02754533663392067,0.0009345841826871037,0.02099619433283806
0.0014861652161926031,0.0274345725774765,0.0009536161669529974,0.02226071245968342
0.001471848925575614,0.027248956263065338,0.0009623157675378025,0.020979182794690132
0.0014746523229405284,0.027170728892087936,0.0009661017684265971,0.021891897544264793
0.0014548790641129017,0.02686716616153717,0.0009479711297899485,0.02084561437368393
0.0014676566934213042,0.027057833969593048,0.000896027369890362,0.020455246791243553
0.0014475192874670029,0.026857970282435417,0.001070898026227951,0.023407328873872757
0.0014415397308766842,0.026793422177433968,0.0009574299328960478,0.02147517539560795
0.001441592932678759,0.026775823906064034,0.0009880948346108198,0.021239789202809334
0.001445972011424601,0.026768188923597336,0.0010116066550835967,0.021384403109550476
0.0014420420629903674,0.026701033115386963,0.0009237024933099747,0.020463161170482635
0.0014381695073097944,0.026653317734599113,0.0009314613416790962,0.02127365954220295
0.0014322821516543627,0.026507388800382614,0.000907959183678031,0.02034660428762436
0.0014425672125071287,0.026638323441147804,0.0009169097756966949,0.021094901487231255
0.0014288928359746933,0.02650948241353035,0.0009993650019168854,0.02206466719508171
0.0014290738618001342,0.026535021141171455,0.0009197585750371218,0.020413687452673912
